ID	Name	Latitude	Longitude	Address	Zipcode	Type	Website	drivingTime	walkingTime	transitTime	nomalized_crime_score	foodscore	gasscore	entertainmentscore	clusters
826	4190 Navajo Trl N	33.915435	-84.329729	4190 Navajo Trl NE, Brookhaven, GA	30319	House	http://www.zillow.com/homedetails/4190-Navajo-Trl-NE-Brookhaven-GA-30319/14577286_zpid/	1303	14721	4259	100	81.31868132	3.846153846	58.7628866	4
827	419 Allison Dr N	33.853631	-84.374403	419 Allison Dr NE, Atlanta, GA	30342	House	http://www.zillow.com/homedetails/419-Allison-Dr-NE-Atlanta-GA-30342/35933633_zpid/	1130	8282	3911	98.14708191	86.81318681	7.692307692	79.89690722	0
828	419 Chamberlain St S	33.75349	-84.37375	419 Chamberlain St SE, Atlanta, GA	30303	Apartment	http://www.zillow.com/homedetails/419-Chamberlain-St-SE-Atlanta-GA-30312/2100201830_zpid/	556	3513	2473	57.69227026	90.10989011	23.07692308	90.20618557	7
829	420 Boulevar	33.765858	-84.372357	420 Boulevard, Atlanta, GA	30303	Apartment	http://www.zillow.com/homedetails/420-Boulevard-Atlanta-GA/35879409_zpid/	569	2750	1955	85.6726735	89.01098901	30.76923077	88.1443299	3
830	420 Mcdonough Blvd S	33.71441	-84.37409	420 Mcdonough Blvd SE, Atlanta, GA	30315	Apartment	http://www.zillow.com/homedetails/420-Mcdonough-Blvd-SE-Atlanta-GA-30315/2125011095_zpid/	825	6340	3517	98.29034911	60.43956044	15.38461538	15.46391753	1
831	420 Rawson St S	33.74246	-84.40164	420 Rawson St SW, Atlanta, GA	30312	Townhouse	http://www.zillow.com/homedetails/420-Rawson-St-SW-Atlanta-GA-30312/2105996623_zpid/	606	3600	2410	86.70125612	85.16483516	7.692307692	80.92783505	0
832	423 Georgia Ave SE APT 30	33.73641	-84.37405	423 Georgia Ave SE APT 302, Atlanta, GA	30303	Condo	http://www.zillow.com/homedetails/423-Georgia-Ave-SE-APT-302-Atlanta-GA-30312/2104439023_zpid/	753	4630	2774	96.84522453	84.61538462	11.53846154	91.2371134	0
833	425 Chapel St SW #	33.75157	-84.40141	425 Chapel St SW # 2, Atlanta, GA	30303	Condo	http://www.zillow.com/homedetails/425-Chapel-St-SW-2-Atlanta-GA-30313/2101603161_zpid/	584	2802	2240	70.25773824	91.20879121	15.38461538	87.62886598	7
834	425 Lindbergh Dr N	33.820685	-84.37389	425 Lindbergh Dr NE, Atlanta, GA	30305	Condo	http://www.zillow.com/homedetails/425-Lindbergh-Dr-NE-Atlanta-GA-30305/35932376_zpid/	799	5633	2007	98.98972642	80.76923077	61.53846154	95.87628866	8
835	4263 Southvale D	33.672231	-84.21399	4263 Southvale Dr, Decatur, GA	30034	House	http://www.zillow.com/homedetails/4263-Southvale-Dr-Decatur-GA-30034/14426207_zpid/	1581	18362	0	100	22.52747253	3.846153846	12.37113402	5
836	428 Tazor St N	33.76641	-84.42133	428 Tazor St NW, Atlanta, GA	30303	Apartment	http://www.zillow.com/homedetails/428-Tazor-St-NW-Atlanta-GA-30314/2100034028_zpid/	535	2542	1782	97.23531661	82.96703297	3.846153846	71.13402062	4
837	4300 Chastain Walk NE # 2	33.8725	-84.3821	4300 Chastain Walk NE # 22, Atlanta, GA	30342	Condo	http://www.zillow.com/homedetails/4300-Chastain-Walk-NE-22-Atlanta-GA-30342/2099146275_zpid/	1323	9283	3785	97.96983893	85.71428571	7.692307692	52.57731959	4
838	430 Lindbergh Dr N	33.82201	-84.37346	430 Lindbergh Dr NE, Atlanta, GA	30305	Apartment	http://www.zillow.com/homedetails/430-Lindbergh-Dr-NE-Atlanta-GA-30305/2108766300_zpid/	797	5783	2039	92.92299231	83.51648352	61.53846154	95.87628866	8
